id;sku;create_time;weight;sotck_level;description;remark;dimension_id
1;haptic Factors matrix;2022-01-21T07:59:00;67317;16298;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;1
2;Specialist;2022-01-21T11:07:15;21397;72107;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;2
3;Keyboard Incredible SAS;2022-01-21T04:09:54;69906;83582;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;3
4;Hat calculating Open-source;2022-01-21T15:51:16;12567;23717;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;4
5;online Switchable;2022-01-21T05:28:13;35970;9010;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;5
6;Assimilated Home transition;2022-01-21T08:06:31;38819;49111;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;6
7;Chair;2022-01-21T20:38:36;48484;84372;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;7
8;Computer withdrawal;2022-01-21T10:08:58;9589;96150;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;8
9;and;2022-01-21T16:42:17;71973;99574;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;9
10;Keyboard;2022-01-21T12:04:38;28584;39818;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;10
