id;exempt_number;effective_start_date;effective_end_date
1;Guarani Universal visualize;2022-01-21T19:40:56;2022-01-21T00:35:53
2;auxiliary Handmade Tunnel;2022-01-21T14:17:26;2022-01-21T09:45:05
3;target;2022-01-21T22:50:51;2022-01-21T18:50:52
4;yellow Turkey;2022-01-21T02:47:13;2022-01-21T11:47:36
5;ADP Rustic Shilling;2022-01-21T16:32:52;2022-01-21T01:14:00
6;composite Cotton;2022-01-21T03:40:46;2022-01-21T01:42:52
7;bi-directional Cotton Legacy;2022-01-21T16:40:05;2022-01-21T19:46:46
8;Car;2022-01-21T01:56:54;2022-01-21T22:39:11
9;blue SMTP;2022-01-21T21:29:19;2022-01-21T17:11:45
10;efficient Pants Lari;2022-01-21T14:20:26;2022-01-21T11:40:14
